entity_id,state,last_changed
sensor.emma_total_charged_energy,6566.37,2025-10-05T22:00:00.000Z
sensor.emma_total_charged_energy,6566.49,2025-10-05T22:01:43.025Z
sensor.emma_total_charged_energy,6566.6,2025-10-05T22:03:13.013Z
sensor.emma_total_charged_energy,6566.8,2025-10-05T22:05:13.027Z
sensor.emma_total_charged_energy,6566.92,2025-10-05T22:06:43.043Z
sensor.emma_total_charged_energy,6567.02,2025-10-05T22:08:43.029Z
sensor.emma_total_charged_energy,6567.24,2025-10-05T22:10:43.017Z
sensor.emma_total_charged_energy,6567.35,2025-10-05T22:12:13.024Z
sensor.emma_total_charged_energy,6567.56,2025-10-05T22:14:13.023Z
sensor.emma_total_charged_energy,6567.66,2025-10-05T22:15:43.021Z
sensor.emma_total_charged_energy,6567.77,2025-10-05T22:17:43.014Z
sensor.emma_total_charged_energy,6567.98,2025-10-05T22:19:43.018Z
sensor.emma_total_charged_energy,6568.2,2025-10-05T22:23:13.027Z
sensor.emma_total_charged_energy,6568.31,2025-10-05T22:24:43.034Z
sensor.emma_total_charged_energy,6568.41,2025-10-05T22:26:43.012Z
sensor.emma_total_charged_energy,6568.63,2025-10-05T22:28:13.040Z
sensor.emma_total_charged_energy,6568.73,2025-10-05T22:30:13.025Z
sensor.emma_total_charged_energy,6568.84,2025-10-05T22:32:13.028Z
sensor.emma_total_charged_energy,6569.06,2025-10-05T22:33:43.007Z
sensor.emma_total_charged_energy,6569.16,2025-10-05T22:35:43.026Z
sensor.emma_total_charged_energy,6569.27,2025-10-05T22:37:13.025Z
sensor.emma_total_charged_energy,6569.49,2025-10-05T22:39:13.033Z
sensor.emma_total_charged_energy,6569.6,2025-10-05T22:41:13.017Z
sensor.emma_total_charged_energy,6569.75,2025-10-05T22:42:43.036Z
sensor.emma_total_charged_energy,6569.8,2025-10-05T22:44:43.030Z
sensor.emma_total_charged_energy,6569.97,2025-10-05T22:46:13.019Z
sensor.emma_total_charged_energy,6570.13,2025-10-05T22:48:13.015Z
sensor.emma_total_charged_energy,6570.24,2025-10-05T22:49:43.037Z
sensor.emma_total_charged_energy,6570.44,2025-10-05T22:51:43.012Z
sensor.emma_total_charged_energy,6570.56,2025-10-05T22:53:43.027Z
sensor.emma_total_charged_energy,6570.66,2025-10-05T22:55:13.011Z
sensor.emma_total_charged_energy,6570.89,2025-10-05T22:57:13.022Z
sensor.emma_total_charged_energy,6570.99,2025-10-05T22:58:43.018Z
sensor.emma_total_charged_energy,6571.09,2025-10-05T23:00:43.020Z
sensor.emma_total_charged_energy,6571.31,2025-10-05T23:02:13.020Z
sensor.emma_total_charged_energy,6571.41,2025-10-05T23:04:13.023Z
sensor.emma_total_charged_energy,6571.52,2025-10-05T23:06:13.026Z
sensor.emma_total_charged_energy,6571.73,2025-10-05T23:07:43.072Z
sensor.emma_total_charged_energy,6571.84,2025-10-05T23:09:43.037Z
sensor.emma_total_charged_energy,unknown,2025-10-05T23:10:29.194Z
sensor.emma_total_charged_energy,6571.84,2025-10-05T23:10:39.317Z
sensor.emma_total_charged_energy,6571.95,2025-10-05T23:11:08.890Z
sensor.emma_total_charged_energy,6572.05,2025-10-05T23:13:08.909Z
sensor.emma_total_charged_energy,unknown,2025-10-05T23:15:32.499Z
sensor.emma_total_charged_energy,6572.23,2025-10-05T23:15:42.623Z
sensor.emma_total_charged_energy,6572.38,2025-10-05T23:16:43.279Z
sensor.emma_total_charged_energy,6572.47,2025-10-05T23:18:43.285Z
sensor.emma_total_charged_energy,6572.65,2025-10-05T23:20:13.262Z
sensor.emma_total_charged_energy,6572.8,2025-10-05T23:22:13.281Z
sensor.emma_total_charged_energy,6572.92,2025-10-05T23:23:43.272Z
sensor.emma_total_charged_energy,6573.08,2025-10-05T23:25:43.281Z
sensor.emma_total_charged_energy,6573.23,2025-10-05T23:27:13.270Z
sensor.emma_total_charged_energy,6573.34,2025-10-05T23:29:14.274Z
sensor.emma_total_charged_energy,6573.56,2025-10-05T23:31:14.257Z
sensor.emma_total_charged_energy,6573.67,2025-10-05T23:32:44.268Z
sensor.emma_total_charged_energy,6573.76,2025-10-05T23:34:44.278Z
sensor.emma_total_charged_energy,6573.87,2025-10-05T23:36:14.286Z
sensor.emma_total_charged_energy,6573.99,2025-10-05T23:38:14.247Z
sensor.emma_total_charged_energy,6574.2,2025-10-05T23:39:44.266Z
sensor.emma_total_charged_energy,6574.31,2025-10-05T23:41:44.275Z
sensor.emma_total_charged_energy,6574.42,2025-10-05T23:43:44.288Z
sensor.emma_total_charged_energy,6574.63,2025-10-05T23:45:14.288Z
sensor.emma_total_charged_energy,6574.73,2025-10-05T23:47:14.265Z
sensor.emma_total_charged_energy,6574.9,2025-10-05T23:48:44.270Z
sensor.emma_total_charged_energy,6575.05,2025-10-05T23:50:44.280Z
sensor.emma_total_charged_energy,6575.15,2025-10-05T23:52:14.292Z
sensor.emma_total_charged_energy,6575.33,2025-10-05T23:54:14.288Z
sensor.emma_total_charged_energy,6575.48,2025-10-05T23:56:14.249Z
sensor.emma_total_charged_energy,6575.59,2025-10-05T23:57:44.287Z
sensor.emma_total_charged_energy,6575.7,2025-10-05T23:59:44.296Z
sensor.emma_total_charged_energy,6575.8,2025-10-06T00:01:14.291Z
sensor.emma_total_charged_energy,6575.97,2025-10-06T00:03:14.271Z
sensor.emma_total_charged_energy,6576.12,2025-10-06T00:05:14.327Z
sensor.emma_total_charged_energy,6576.24,2025-10-06T00:06:44.292Z
sensor.emma_total_charged_energy,6576.4,2025-10-06T00:08:44.288Z
sensor.emma_total_charged_energy,6576.55,2025-10-06T00:10:14.290Z
sensor.emma_total_charged_energy,6576.67,2025-10-06T00:12:14.308Z
sensor.emma_total_charged_energy,6576.88,2025-10-06T00:14:14.371Z
sensor.emma_total_charged_energy,6576.99,2025-10-06T00:15:44.287Z
sensor.emma_total_charged_energy,6577.15,2025-10-06T00:17:44.299Z
sensor.emma_total_charged_energy,6577.31,2025-10-06T00:19:14.277Z
sensor.emma_total_charged_energy,6577.41,2025-10-06T00:21:14.414Z
sensor.emma_total_charged_energy,6577.57,2025-10-06T00:22:44.301Z
sensor.emma_total_charged_energy,6577.74,2025-10-06T00:24:44.293Z
sensor.emma_total_charged_energy,6577.79,2025-10-06T00:26:44.268Z
sensor.emma_total_charged_energy,6577.95,2025-10-06T00:28:14.290Z
sensor.emma_total_charged_energy,6578.05,2025-10-06T00:30:14.263Z
sensor.emma_total_charged_energy,6578.22,2025-10-06T00:31:44.265Z
sensor.emma_total_charged_energy,6578.38,2025-10-06T00:33:44.270Z
sensor.emma_total_charged_energy,6578.48,2025-10-06T00:35:14.315Z
sensor.emma_total_charged_energy,6578.65,2025-10-06T00:37:14.285Z
sensor.emma_total_charged_energy,6578.8,2025-10-06T00:39:14.257Z
sensor.emma_total_charged_energy,6578.91,2025-10-06T00:40:44.480Z
sensor.emma_total_charged_energy,6579.08,2025-10-06T00:42:44.252Z
sensor.emma_total_charged_energy,6579.24,2025-10-06T00:44:14.262Z
sensor.emma_total_charged_energy,6579.34,2025-10-06T00:46:44.265Z
sensor.emma_total_charged_energy,6579.51,2025-10-06T00:48:14.262Z
sensor.emma_total_charged_energy,6579.67,2025-10-06T00:50:14.241Z
sensor.emma_total_charged_energy,6579.77,2025-10-06T00:51:44.289Z
sensor.emma_total_charged_energy,6579.94,2025-10-06T00:53:44.275Z
sensor.emma_total_charged_energy,6580.09,2025-10-06T00:55:14.245Z
sensor.emma_total_charged_energy,6580.2,2025-10-06T00:57:14.259Z
sensor.emma_total_charged_energy,6580.37,2025-10-06T00:59:14.275Z
sensor.emma_total_charged_energy,6580.52,2025-10-06T01:00:45.132Z
sensor.emma_total_charged_energy,6580.63,2025-10-06T01:02:45.160Z
sensor.emma_total_charged_energy,6580.79,2025-10-06T01:04:15.170Z
sensor.emma_total_charged_energy,6580.96,2025-10-06T01:06:15.161Z
sensor.emma_total_charged_energy,6581.06,2025-10-06T01:07:45.153Z
sensor.emma_total_charged_energy,6581.15,2025-10-06T01:09:45.139Z
sensor.emma_total_charged_energy,6581.28,2025-10-06T01:11:45.141Z
sensor.emma_total_charged_energy,6581.43,2025-10-06T01:13:15.146Z
sensor.emma_total_charged_energy,6581.6,2025-10-06T01:15:15.139Z
sensor.emma_total_charged_energy,6581.76,2025-10-06T01:16:45.138Z
sensor.emma_total_charged_energy,6581.86,2025-10-06T01:18:45.155Z
sensor.emma_total_charged_energy,6582.02,2025-10-06T01:20:15.149Z
sensor.emma_total_charged_energy,6582.18,2025-10-06T01:22:15.146Z
sensor.emma_total_charged_energy,6582.3,2025-10-06T01:23:45.130Z
sensor.emma_total_charged_energy,6582.45,2025-10-06T01:25:45.118Z
sensor.emma_total_charged_energy,6582.62,2025-10-06T01:27:45.155Z
sensor.emma_total_charged_energy,6582.72,2025-10-06T01:29:15.127Z
sensor.emma_total_charged_energy,6582.88,2025-10-06T01:31:15.128Z
sensor.emma_total_charged_energy,6583.05,2025-10-06T01:33:15.143Z
sensor.emma_total_charged_energy,6583.2,2025-10-06T01:34:45.134Z
sensor.emma_total_charged_energy,6583.26,2025-10-06T01:36:45.118Z
sensor.emma_total_charged_energy,6583.41,2025-10-06T01:38:15.121Z
sensor.emma_total_charged_energy,6583.52,2025-10-06T01:40:15.174Z
sensor.emma_total_charged_energy,6583.69,2025-10-06T01:41:45.138Z
sensor.emma_total_charged_energy,6583.84,2025-10-06T01:43:45.345Z
sensor.emma_total_charged_energy,6583.95,2025-10-06T01:45:45.600Z
sensor.emma_total_charged_energy,6584.11,2025-10-06T01:47:16.016Z
sensor.emma_total_charged_energy,6584.27,2025-10-06T01:49:16.008Z
sensor.emma_total_charged_energy,6584.39,2025-10-06T01:50:46.024Z
sensor.emma_total_charged_energy,6584.4,2025-10-06T04:16:16.026Z
sensor.emma_total_charged_energy,6584.41,2025-10-06T05:11:46.006Z
sensor.emma_total_charged_energy,6584.42,2025-10-06T06:40:46.008Z
sensor.emma_total_charged_energy,unknown,2025-10-06T07:11:03.874Z
sensor.emma_total_charged_energy,6584.42,2025-10-06T07:11:14.023Z
sensor.emma_total_charged_energy,6584.43,2025-10-06T07:42:14.188Z
sensor.emma_total_charged_energy,6584.44,2025-10-06T07:45:43.753Z
sensor.emma_total_charged_energy,6584.48,2025-10-06T07:47:43.770Z
sensor.emma_total_charged_energy,6584.49,2025-10-06T07:49:13.762Z
sensor.emma_total_charged_energy,6584.5,2025-10-06T07:51:13.760Z
sensor.emma_total_charged_energy,6584.52,2025-10-06T08:03:43.760Z
sensor.emma_total_charged_energy,6584.54,2025-10-06T08:07:13.758Z
sensor.emma_total_charged_energy,6584.56,2025-10-06T08:10:43.754Z
sensor.emma_total_charged_energy,6584.57,2025-10-06T08:12:43.779Z
sensor.emma_total_charged_energy,6584.58,2025-10-06T08:14:13.756Z
sensor.emma_total_charged_energy,6584.59,2025-10-06T08:16:13.757Z
sensor.emma_total_charged_energy,6584.61,2025-10-06T08:17:43.761Z
sensor.emma_total_charged_energy,6584.63,2025-10-06T08:23:13.978Z
sensor.emma_total_charged_energy,6584.64,2025-10-06T08:30:13.790Z
sensor.emma_total_charged_energy,6584.65,2025-10-06T08:32:13.759Z
sensor.emma_total_charged_energy,6584.67,2025-10-06T08:34:13.751Z
sensor.emma_total_charged_energy,6584.69,2025-10-06T08:35:43.769Z
sensor.emma_total_charged_energy,6584.71,2025-10-06T08:37:43.765Z
sensor.emma_total_charged_energy,6584.73,2025-10-06T08:39:13.861Z
sensor.emma_total_charged_energy,6584.76,2025-10-06T08:41:13.765Z
